100,245,511,505,700,518,IsBarnes,Location,formatted_date,formatted_title,Original Folder Name,New Folder Name
"1\$aBiedermann, Garrett.",10$aSenior honors recital.,"0\$aGarrett Biedermann, composer ; various performers.","00$tPrelude and fugue for trombone quartet$g(2011)$r(Jeff Dunn ; Josh Zimmer ; Eddie Steenstra ; Mike Nave) --$tWinter Hunt$g(2012)$r(Sean Harvey ; Andrew Dobos ; Taylor Eddinger ; and Chris Demetriou, mallet percussion) --$tSymphony no. 1$g(2011-12).$tIntroduction ;$tAdagio ;$tScherzo ;$tFinale$r(The Biedermann Orchestra ; Jonathan Musgrave, conductor).","1\$aBiedermann, Garrett.","\\$oRecorded$d2012 April 15,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/15/12 0:00,Senior honors recital.,20120415_Garrett_Biedermann,
,00$aNew works for string quartet and Gamelan instruments.,0\$aMomenta Quartet ; Cornell Gamelan Ensemble.,"00$tMusic for string quartet$g(2010) /$rCharles Cacioppo (Momenta Quartet) --$tthree blue lotus$g(1994) /$rChristopher J. Miller (Christopher J. Miller) --$tNo name$g(2012) /$rJesse Jones (Momenta Quartet ; Christopher J. Miller, gender ; Christopher Stark, bonang ; Peiying Yuan, gong and kempul) --$tVoid$g(2012) /$rPeiying Yuan (Momenta Quartet ; Christopher J. Miller, gender) --$tthe task of interpretation$g(2012) /$rAmit Gilutz (Momenta Quartet ; Christopher J. Miller, Christopher Stark, Peiying Yuan--gender, gender panerus, slenthem, gong, kempul).",,"\\$oRecorded$d2012 April 18,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/18/12 0:00,New works for string quartet and Gamelan instruments.,20120418_New_Works_for_String_Quartet_Gamelan_Instruments,
"1\$aSobel, Liza,$d1990-",00$aSenior honors thesis.,"0\$aLiza Sobel, composer ; various performers.","00$tRequiem for female choir, chamber orchestra, and soprano soloist.$tIntroitus ;$tKyrie ;$tDies irae ;$tInterlude ;$tLacrimosa ;$tSanctus ;$tBenedictus ;$tAgnus dei /$rLiza Sobel (Lorraine Fitzmaurice, conductor ; Ms. Sobel, soprano).",,"\\$oRecorded$d2012 April 20,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/20/12 0:00,Senior honors thesis.,20120420_Liza_Sobel,
,00$a21st annual Cornell jazz festival.,"0\$aPaul Merrill, director ; with guest ensemble Joe Forrester Trio (Joel Forrester, piano ; David Ambrosio, bass ; Matt Garrity, drums) ; and the Bissett Sextet.",00$tFirm roots /$rCedar Walton --$tBeatrice /$rSam Rivers --$tSeven steps to heaven /$rVictor Feldman --$tPolka dots and moonbeams /$rJimmy Van Heusen/Johnny Burke --$tNutville /$rHorace Silver.,"1\$aMerrill, Paul,$d1972-","\\$oRecorded$d2012 April 21,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/21/12 0:00,21st annual Cornell jazz festival.,20120421_Jazz_Festival,
,00$aCornell Chamber Orchestra.,"0\$aCornell Chamber Orchestra ; Chris Younghoon Kim, conductor.","00$tThree secrets in Maine$g(2010).$tThe running alewives at Damariscotta Mills ;$tCycling South Bristol ;$tIn silence, adrift under Venus, alone (19 June 2010--10:22 p.m., tribute to T.N.) /$rCarter Pann --$tFrom String quartet no. 2, op. 7 (""From the Monkey Mountains"")$g(1925) :$tCoach, coachman and horse (andante) ;$tThe moon and I (largo e misterioso) ;$tWild night (vivace e con fuoco) /$rPavel Haas --$tFrom Symphony no. 5 in C-sharp minor$g(1901-2) :$tAdagietto /$rGustav Mahler.","1\$aKim, Chris Younghoon,$econductor.","\\$oRecorded$d2012 April 22,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/22/12 0:00,Cornell Chamber Orchestra.,20120422_Cornell_Chamber_Orchestra,
,00$aContrapunkt!,"0\$aLiza Sobel and Paul Hwang, directors.","00$tPlunge into the depths of endless despair /$rTevin Conner (Liane Moreau ; Jennifer Warmingham ; Anne Kwok ; and Tevin Conner, flutes) --$tEtude /$rRobert Banks (Robert Banks, piano) --$tEverything will be O.K. /$rJon Eckhaus (Jon Eckhaus, prepared piano ; Ethan Cohen, guitar ; Mario Gutierrez, percussion) --$t4 studies of temperament.$tComforting (segue) ;$tFrantic ;$tGiddy ;$tUnsettling /$rAlexander Hallenbeck (Jeffrey Lau, clarinet ; Alex Gribizis, violin ; Ryan Allen-Parrot, cello).","1\$aSobel, Liza,$d1990-;1\$aHwang, Paul.","\\$oRecorded$d2012 April 28,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/28/12 0:00,Contrapunkt!,20120428_Contrapunkt,
,00$aPiano students of Mimi Solomon and Miri Yampolsky.,0\$aVarious performers.,"00$tKindermarsch, D. 928 /$rFranz Schubert (Nan Xu and Mimi Solomon) --$tIntermezzo in E major, op. 116, no. 7 /$rJohannes Brahms ;$tEtude in C-sharp minor, op. 25, no. 7 /$rFr{acute}ed{acute}eric Chopin (Robert Araujo) --$tIntermezzo in E minor, op. 199, no. 2 ;$tCapriccio in D minor, op. 116, no. 1 /$rBrahms (Qianjing ""Jenny"" Xia) --$tIntermezzo in A major, op. 118, no. 2 ;$tBallade in G minor, op. 118, no. 3 /$rBrahms (Tiffany Tsay) --$tIntermezzo in E minor, op. 116, no. 5 ;$tIntermezzo in E-flat major, op. 117, no. 1 /$rBrahms (Peiying Yuan) --$tIntermezzo in A minor, op. 76, no. 7 /$rBrahms ;$tBallade no. 4 in F minor, op. 52 /$rChopin (Vikram Potdar) --$tMarche Militaire, op. 51, no. 1 /$rSchubert ;$tHungarian dance, WoO 1, no. 1 /$rBrahms (Tiffany Tsay and Qianjing ""Jenny"" Xia) --$tCapriccio in A minor, op. 116, no. 2 ;$tIntermezzo in A minor, op. 118, no. 1 /$rBrahms (Nan Xu) --$tIntermezzo in E-flat minor, op. 118, no. 6 ;$tIntermezzo in C major, op. 119, no. 3 /$rBrahms (Eric Tan) --$tCapriccio in G minor, op. 116, no. 3 ;$tIntermezzo in E major, op. 116, no. 4 /$rBrahms (Shiliu Wang) --$tIntermezzo in C-sharp minor, op. 117, no. 3 /$rBrahms ;$tVariations s{acute}erieuses, op. 54 /$rFelix Mendelssohn (Emily Choi) --$tCapriccio in F-sharp minor, op. 76, no. 1 /$rBrahms (Julie Moon) --$tRomance in F major, op. 118, no. 5 /$rBrahms ;$tFrom Sonata no. 2 in G minor, op. 22 :$tVivacissimo: so rasch wie m{uml}oglich /$rRobert Schumann (Fred Dong).","1\$aSolomon, Mimi.;1\$aYampolsky, Miri.","\\$oRecorded$d2012 April 29,$pBarnes Hall, Cornell University.",TRUE,Barnes,4/29/12 0:00,Piano students of Mimi Solomon and Miri Yampolsky.,20120429_Piano_Students_of_Mimi_Solomon_and_Miri_Yamolsky,
,00$aStudent chamber music recital.,0\$aVarious performers.,"00$tFrom Violin sonata no. 2, op. 27 :$tPrelude: poco vivace /$rEug{grave}ene Ysa{uml}ye (Marit Imsdahl, violin) --$tBallade no. 1, op. 23 /$rFr{acute}ed{acute}eric Chopin (Solveig Imsdahl, piano) --$tFrom Piano trio no. 1 in D minor, op. 49 :$tMolto allegro ed agitato /$rFelix Mendelssohn (Alexandra Gribizis, violin ; Gaelyn Ong, cello ; Tiffany Tsay, piano) --$tFrom 8 pieces for violin and cello, op. 39 :$tCradle song ;$tGavotte /$rReinhold Gli{grave}ere ;$tFrom Duo for violin and cello, after K. 423 :$tAllegro /$rWolfgang Amadeus Mozart (Gene Hu, violin ; Zachary Wu, cello) --$tFrom Sonata no. 3 in D minor for violin and piano, op. 108 :$tAllegro /$rJohannes Brahms (Marit Imsdahl, violin ; Solveig Imsdahl, piano) --$tFrom Piano trio no. 1 in B major, op. 8 :$tAllegro con brio /$rBrahms (Moriah Son, violin ; Vivian Yang, cello ; Emily Choi, piano).",,"\\$oRecorded$d2012 May 7,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/7/12 0:00,Student chamber music recital.,20120507_Student_Chamber_Music_Recital,
,"00$aMusic: cognition technology, society :$belectroacoustic music concert.",0\$aVarious performers.,"00$tHomage to La Monte Young /$rNicholas Cline --$tEcology no. 8 /$rNathan Davis --$tThe rite of judgment /$rNiccola Monopoli --$tHydromancer /$rPeter Van Zandt Lane (Peter Van Zandt Lane, bassoon) --$tZey-glitch /$rEliot Bates ;$rTaylan Cihan (Eliot Bates, oud / electronics ; Taylan Cihan, electronics / speakers elements) --$tMegas diakosmos /$rStelios Manousakis --$tTwo-handed storytelling /$rChistopher Stark (Andrew Zhou, piano).",,"\\$oRecorded$d2012 May 12,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/12/12 0:00,"Music: cognition technology, society: electroacoustic music concert.",20120512_MCTS2,
,00$aMayfest :$bthree generations of Cornell piansts.$pProgram II.,"0\$aXak Bjerken and Miri Yampolsky, artistic directors ; various performers.","00$tSonata no. 3 in F minor, op. 20.$tAllegro moderato ;$tAdagio maestoso ;$tPresto /$rJohann Nepomuk Hummel --$tSonata in F minor, D. 625.$tAllegro ;$tAdagio ;$tAllegro /$rFranz Schubert (Malcolm Bilson) --$tTraced overhead, op. 15$g(1996)$tSursum-- ;$tAetheria-- ;$tChori /$rThomas Ad{grave}es (Andrew Zhou) --$tSonata no. 2 in G minor, op. 22.$tVivacissimo: so rasch wie m{uml}oglich ;$tAndantino ;$tScherzo: sehr rasch und markiert ;$tRondo: presto /$rRobert Schumann (Miri Yampolsky).","1\$aBjerken, Xak.;1\$aYampolsky, Miri.","\\$oRecorded$d2012 May 21,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/21/12 0:00,Mayfest: three generations of Cornell piansts.$pProgram II.,20120521_Mayfest_II,
,00$aMayfest.$pProgram III.,"0\$aXak Bjerken and Miri Yampolsky, artistic directors ; various performers.","00$tLargo for clarinet, violin, and piano$g(1910, revised 1934) /$rCharles Ives (Richard Faria, clarinet ; Ariana Kim, violin ; Andrew Zhou, piano) --$tString trio in C minor, op. 9, no. 3.$tAllegro con spirito ;$tAdagio con espressione ;$tScherzo: allegro molto e vivace ;$tFinale: presto /$rLudwig van Beethoven (Xiao-Dong Wang, violin ; Katherin Murdock, viola ; Zvi Plesser, cello) --$tFrom Jeux d'enfants for piano four hands, op. 22$g(1871).$tLa toupie = (""The top"") ;$tLa poup{acute}ee = (""The doll"") ;$tTrompette et tambour = (""Trumpet and drum"") ;$tLes quarte coins = (""Puss in the corner"") ;$tLe volant = (""The shuttlecock"") ;$tLa bal = (""The ball"") /$rGeorge Bizet (Roger Moseley and Xak Bjerken, piano) --$tPiano trio no. 2 in E minor, op. 67$g(1944).$tAndante--moderato ;$tAllegro con brio ;$tLargo ;$tAllegretto /$rDmitri Shostakovich (Xiao-Dong Wang, violin ; Zvi Plesser, cello ; Miri Yampolsky, piano).","1\$aBjerken, Xak.;1\$aYampolsky, Miri.","\\$oRecorded$d2012 May 22,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/22/12 0:00,Mayfest.$pProgram III.,20120522_Mayfest_III,
,00$aMayfest.$pProgram IV.,"0\$aXak Bjerken and Miri Yampolsky, artistic directors ; various performers.","00$tSonata for violin and piano$g(1914).$tCon moto ;$tBalada ;$tAllegretto ;$tAdagio /$rLeo{breve}s Jan{acute}a{breve}cek (Ariana Kim, violin ; Miri Yampolsky, piano) --$tContrasts for clarinet, violin, and piano$g(1938).$tVerbunkos (recruiting dance) ;$tPihen{uml}o (relaxation) ;$tSebes (fast dance) /$rB{acute}ela Bart{acute}ok (Richard Faria, clarinet ; Xiao-Dong Wang, violin ; Xak Bjerken, piano) --$tPiano quartet no. 2 in A major, op. 26$g(1861).$tAllegro non troppo ;$tPoco adagio ;$tScherzo: poco allegro--trio ;$tFinale: allegro /$rJohannes Brahms (Xiao-Dong Wang, violin ; Katherine Murdock, viola ; Zvi Plesser, cello ; Xak Bjerken, piano).","1\$aBjerken, Xak.;1\$aYampolsky, Miri.","\\$oRecorded$d2012 May 23,$pBarnes Hall, Cornell University.",TRUE,Barnes,5/23/12 0:00,Mayfest.$pProgram IV.,20120523_Mayfest_IV,
,"00$aSezi Seskir, piano with Roger Moseley, piano.","0\$aSezi Seskir, piano ; with Roger Moseley, piano.","00$t7 fantasien, op. 116.$tCapriccio in D minor, presto energico ;$tIntermezzo in A minor, andante ;$tCapriccio in G minor, allegro passionato ;$tIntermezzo in E major, adagio ;$tIntermezzo in E minor, andante con grazia ed intimissimo sentimento ;$tCapriccio in D minor, allegro agitato /$rJohannes Brahms --$tFantasie in F minor, D. 940.$tAllegro molto moderato ;$tLargo ;$tScherzo: allegro vivace ;$tFinale: allegro molto moderato /$rFranz Schubert (with Mr. Moseley) --$tPolonaise-fantasy in A-flat major, op. 61 /$rFrederic Chopin --$tFantasie in C major, op. 17.$tDurchaus phantastisch und leidenschaftlish vorzutragen ;$tMassig--durchaus energisch ;$tLangsam getragen--durchweg leise zu halten /$rRobert Schumann.","1\$aSeskir, Sezi,$eperformer.;1\$aMoseley, Roger,$eperformer.","\\$oRecorded$d2012 September 15,$pBarnes Hall, Cornell University.",TRUE,Barnes,9/15/12 0:00,"Sezi Seskir, piano with Roger Moseley, piano.",20120915_Sezi_Seskir,
,"00$aGuest artist, Chris Corsano, percussion.","0\$aChris Corsano, percussion ; Maximum Impedance (Trevor Pinch and Annie Lewandowski).",00$tI. /$rMaximum Impedance; Trevor Pinch and Annie Lewandowski --$tII. /$rChris Corsano.,"1\$aCorsano, Chris,$eperformer.","\\$oRecorded$d2012 September 25,$pBarnes Hall, Cornell University.",TRUE,Barnes,9/25/12 0:00,"Guest artist, Chris Corsano, percussion.",20120925_Chris_Corsano,
,"00$aChristine Kwak, violin, Eduard Laurel, piano.","0\$aChristine Kwak, violin ; Eduard Laurel, piano.","00$tSonatensatz: scherzo in C minor for violin and piano /$rJohannes Brahms --$tViolin sonata in E-flat major, op. 18.$tAllegro ma non troppo ;$tImprovisation: andante cantabile ;$tFinale: andante--allegro /$rRichard Strauss --$t""Porgy"" rhapsody (after Gershwin's Porgy and Bess) /$rAlbert Markov --$tSonata in A minor for solo violin, op. 27, no. 2$g(""Obsession"").$tObsession: prelude: poco vivace ;$tMalinconia: poco lento ;$tDanse des ombres: sarabande ;$tLes furies: allegro furioso /$rEug{grave}ene Ysa{uml}ye --$tNocturne in C-sharp minor /$rFr{acute}ed{acute}eric Chopin --$tTzigane /$rMaurice Ravel.","1\$aKwak, Christine,$eperformer.;1\$aLaurel, Eduard,$eperformer.","\\$oRecorded$d2012 September 27,$pBarnes Hall, Cornell University.",TRUE,Barnes,9/27/12 0:00,"Christine Kwak, violin, Eduard Laurel, piano.",20120927_Christine_Kwak,
,00$aCornell University Wind Ensemble.,"0\$aCornell University Wind Ensemble ; Cynthia Johnston Turner, conductor ; Yuan Peiying, assistant ; John Haines-Eitzen, cello.","00$tFrom Symphony no. 1, Jeremiah :$tProfanation /$rLeonard Bernstein ;$tarr. Frank Bencriscutto --$tLincolnshire posy.$tLisbon ;$tHorkstow grange ;$tRufford Park poachers ;$tThe brisk  young sailor ;$tLord Melbourne ;$tThe lost lady found /$rPercy Grainger --$tKonzert f{dblac}ur Violoncello und Blasorchester.$tOuverture ;$tIdylle ;$tCadenza ;$tMenuett ;$tFinale all Marcia /$rFriedrich Gulda (with Mr. Haines-Eitzen) --$tPostcard /$rFrank Ticheli.","1\$aJohnston Turner, Cynthia,$econductor.;1\$aYuan, Peiying,$d1984-$eperformer.;1\$aHaines-Eitzen, John,$eperformer.","\\$oRecorded$d2012 October 3,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/3/12 0:00,Cornell University Wind Ensemble.,20121003_CU_Wind_Ensemble,
"1\$aMozart, Wolfgang Amadeus,$d1756-1791.","10$aMike Lee, fortepiano.","0\$aMike Lee, fortepiano ; with Annalise Smith, soprano ; Roger Moseley, fortepiano.","00$tWie ungl{uml}ucklich bin ich nit, K. 147 ;$tAls Luise die Briefe ihres ungetreuen Liebhabers verbrannte, K. 520 ;$tAn Chloe, K. 524 ;$tDas Veilchen, K. 476$r(with Ms. Smith) --$tPiano sonata in F major, K. 332.$tAllegro ;$tAdagio ;$tAllegro assai --$tAbendempfindung an Laura, K. 523$r(with Ms. Smith) --$tSonata in D major for two pianos, K. 448.$tAllegro con spirito ;$tAndante ;$tMolto allegro$r(with Mr. Moseley).","1\$aLee, Mike,$eperformer.;1\$aSmith, Annalise,$eperformer.;1\$aMoseley, Roger,$eperformer.","\\$oRecorded$d2012 October 10,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/10/12 0:00,"Mike Lee, fortepiano.",20121010_Mike_Lee,
,"00$aAriana Kim, violin, John Haines-Eitzen, cello, Malcolm Bilson, fortepiano.","0\$aAriana Kim, violin ; John Haines-Eitzen, cello ; Malcolm Bilson, fortepiano.","00$tTrio in E-flat minor, Hob. 31.$tAndante cantabile ;$tAllegro /$rJoseph Haydn --$tPiano sonata in G major, Hob. 40.$tAllegretto innocente ;$tPresto /$rHaydn --$tViolin sonata in G major, K. 301.$tAllegro con spirito ;$tAllegro /$rWolfgang Amadeus Mozart --$tTrio in E-flat major, op. 1, no. 1.$tAllegro ;$tAdagio cantabile ;$tScherzo: allegro assai ;$tFinale: presto /$rLudwig van Beethoven.","1\$aKim, Ariana,$eperformer.;1\$aHaines-Eitzen, John,$eperformer.;1\$aBilson, Malcolm,$eperformer.","\\$oRecorded$d2012 October 20,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/20/12 0:00,"Ariana Kim, violin, John Haines-Eitzen, cello, Malcolm Bilson, fortepiano.",20121020_Faculty_Chamber_Music,
,00$aGuest recital.,"0\$aAllison Dromgold Adams, saxophones ; Liz Ames, piano.","00$tConcertino da camera.$tAllegro con moto /$rJacques Ibert --$tPartita in A minor.$tSarabande /$rJohann Sebastian Bach --$tKlonos /$rPiet Swerts --$tFuzzy bird sonata.$tRun, bird /$rTakashi Yoshimatsu --$tKu ku /$rBarry Cockcroft --$tThree romances, op. 94.$tNicht schnell /$rRobert Schumann --$tSequenza VIIb /$rLuciano Berio --$tVariations path{acute}etiques.$tRapido /$rIda Gotkovsky --$tPr{acute}elude, candence et finale.$tCadence ;$tFinale /$rAlfred Desenclos.","1\$aAdams, Allison Dromgold,$eperformer.;1\$aAmes, Elizabeth$c(Pianist),$eperformer.","\\$oRecorded$d2012 October 21,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/21/12 0:00,Guest recital.,20121021_Allison_Dromgold_Adams,
,00$aCornell University Jazz Band.,"0\$aCornell University Jazz Band (Paul Merrill, director ; with guests Pat La Barbera, tenor sax ; John La Barbera, composer ; Joe La Barbera, drums ; Steve Brown, composer, guitar).","00$tFilthy mcnasty /$rHorace Silver ;$rarr. John La Barbera --$tDeep /$rSteve Brown --$tFantazm /$rDuke Ellington ;$rarr. John La Barbera --$tPythodd fellows /$rJohn La Barbera --$tSo what /$rMiles Davis ;$rarr. John La Barbera --$tRoman notes /$rJohn La Barbera --$tSmall group selection to be announced from the stage --$tGod bless the child /$rArthur Henzog, Jr./Billie Holiday ;$rarr. John La Barbera --$tMoontrane /$rWoody Shaw ;$rarr. John La Barbera.","1\$aMerrill, Paul,$d1972-$eperformer.;1\$aLa Barbera, Pat,$d1944-$eperformer.;1\$aLa Barbera, John,$eperformer.;1\$aLaBarbera, Joe,$eperformer.;1\$aBrown, Steve$c(Composer),$eperformer.","\\$oRecorded$d2012 October 27,$pBarnes Hall, Cornell University.",TRUE,Barnes,10/27/12 0:00,Cornell University Jazz Band.,20121027_CU_Jazz_Band,
"1\$aHilton, Lisa$c(Pianist)","10$aGuest artist, Lisa Hilton, composer, jazz pianist.","0\$aLisa Hilton, composer, jazz pianist.",,,"\\$oRecorded$d2012 November 2,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/2/12 0:00,"Guest artist, Lisa Hilton, composer, jazz pianist.",20121102_Lisa_Hilton,
,00$aContrapunkt.,"0\$aPaul Hwang, director.","00$tHimalaya /$rAndrew Bunyea (Andrew Bunyea, piano) --$tMourning dove /$rJasmine Edison ;$tI give you the end of a golden string /$rPaul Hwang (Alexandra Cesare, Emily Higgins, Emily Lutz, sopranos ; Tae Kim, Eunice Koid, altos ; Brian Gips, Matthew Weatherley, tenors ; Daniel Golland, Zach Hempstead, basses ; Paul Hwang, conductor) --$tViolin concerto for violin and string trio /$rRobert Banks (William Moseson, solo violin ; Moriah Son, violin ; Clint Ko, viola ; Matt Hudson, cello).","1\$aHwang, Paul,$eperformer.","\\$oRecorded$d2012 November 3,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/3/12 0:00,Contrapunkt.,20121103_Contrapunkt,
,00$aCornell Contemporary Chamber Players.,"0\$aCornell Contemporary Chamber Players ; Michael Small, director.","00$tStill life crumbles$g(2012) /$rTonia Ko (Ariana Kim, violin ; Michael Pecak, harpsichord) --$tHighpoint trio$g(2010) /$rNiccolo Athens (Ariana Kim, violin ; Richard MacDowell, clarinet ; John Haines-Eitzen, cello) --$tSiteless structures$g(2011).$tEvanescent tower ;$tTriple fold ;$tWalking circle ;$tRefused skyscraper ;$tDripping skylight.$tSoft origami ;$tCity-block hug ;$tProgram falls /$rTonia Ko (Michael Pecak, piano) --$tThree tarantellas$g(2007) /$rLoren Loiacono (Richard MacDowell, clarinet ; Andrew Zhou, piano).","1\$aSmall, Michael,$eperformer.","\\$oRecorded$d2012 November 4,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/4/12 0:00,Cornell Contemporary Chamber Players.,20121104_Contemporary_Chamber,
,"00$aXak Bjerken, piano.","0\$aXak Bjerken, piano.","00$tBarcarolle, op. 60 /$rFr{acute}ed{acute}eric Chopin --$tFrom Vingt regards sur l'enfant-J{acute}esus = (""Twenty contemplations on the infant Jesus"") :$tLe baiser de l'enfant-J{acute}esus = (""The kiss of the infant Jesus"") ;$tRegard des hauteurs = (""Contemplation of the heights"") ;$tRegard de l'Esprit de joie = (""Contemplation of the spirit of joy"") /$rOlivier Messiaen --$tFrom Etudes, book I :$tCordes {grave}a vide /$rGy{uml}orgy Ligeti --$tSonata no. 3 in F minor, op. 5.$tAllegro maestoso ;$tAndante ;$tScherzo: allegro energico ;$tIntermezzo (in retrospect) ;$tFinale: allegro moderato ma rubato /$rJohannes Brahms.","1\$aBjerken, Xak,$eperformer.","\\$oRecorded$d2012 November 11,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/11/12 0:00,"Xak Bjerken, piano.",20121111_Xak_Bjerken,
"1\$aHeggie, Jake,$d1961-",10$aSongs of Jake Heggie on texts of Gene Scheer.,0\$aVarious performers.,"00$tRise and fall$g(2007).$tWater stone (Noguchi) ;$tAngels' wings$r(Judith Kellock, soprano ; Jake Heggie, piano) --$tThree Decembers$g(2008)$r(Erin Goers, soprano ; Alexander Reese, baritone ; Blaise Bryski, piano) --$tA question of light$g(2011).$tYellow flowers in a vase (Gustave Caillebotte)$r(Alexander Cooper, baritone ; Carolyn Grossman, piano) ;$tEl hombre (Rufino tamayo)$r(Alexander Reese, baritone ; Carolyn Grossman, piano) --$tFriendly persuasions :$tsongs in homage to Poulenc$g(2008).$tPierre Bernac --$tBonne journ{acute}ee :$tfrom Tel jour, telle nuit (Paul {acute}Eluard) /$rFrancis Poulenc --$tFriendly persuasions :$tsongs in homage to Poulenc$g(2008).$tPaul {acute}Eluard$r(Nataniel McEwen, tenor ; Frederick Dong, piano) --$tMoby-Dick$g(2010).$tPoor rover, act II duet by Pip and Greenhorn$r(Annalise Smith, soprano ; Nate McEwen, tenor ; Blaise Bryski, piano) --$tSongs and sonnets to Ophelia$g(1999).$tThe spring is arise; Ophelia's song (Jake Heggie) ;$tSpring (Millay)$r(Lorraine Fitzmaurice, soprano ; Amit Gilutz, piano) --$tCamille Claudel: into the fire$g(2012).$tShakuntala ;$tThe gossips ;$tStatuesque$g(2005).$tPablo Picasso: head of a woman, 1932 ;$tWinged victory: we're through$r(Ivy Walz, mezzo-soprano ; Jake Heggie, piano).","1\$aScheer, Gene.","\\$oRecorded$d2012 November 17,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/17/12 0:00,Songs of Jake Heggie on texts of Gene Scheer.,20121117_Songs_of_Heggie_and_Scheer,
,00$aCornell Chamber Orchestra.,"0\$aCornell Chamber Orchestra ; Chris Younghoon Kim, conductor ; Ariana Kim, violin ; Rebecca Lomnicky, violin.","00$tFrom Octet in E-flat major, op. 20 :$tAllegro moderato ma con fuoco /$rFelix Mendelssohn --$tGrandma Rebecca's favorite /$rRebecca Lomnicky (with Ms. Lomnicky) --$tViolin concerto no. 1 in E major, op. 8, RV 269, La primavera = (""Spring"").$tAllegro ;$tLargo ;$tAllegro pastorale /$rAntonio Vivaldi (with Ms. Kim) --$tFrom Estaciones porte{tilde}nas :$tPrimavera porte{tilde}na = (""Buenos Aires spring"") /$rAstor Piazzolla.","1\$aKim, Chris Younghoon,$econductor.;1\$aKim, Ariana,$eperformer.;1\$aLomnicky, Rebecca,$eperformer.","\\$oRecorded$d2012 November 18,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/18/12 0:00,Cornell Chamber Orchestra.,20121118_Cornell_Chamber_Orchestra,
,00$aStudent chamber music recital.,0\$aVarious performers.,"00$tSonata in F minor, TWV 41:f1.$tAllegro /$rGeorg Philipp Telemann ;$tBassoon sonata in G, op. 168.$tAllegro moderato ;$tAndante /$rCamille Saint-Sa{uml}ens (Marion Quien, bassoon ; Sally Yu, piano) --$tViolin concerto in E minor, op. 64.$tAndante ;$tAllegretto non troppo-- allegro molto vivace /$rFelix Mendelssohn (Marit Imsdahl, violin ; Solveig Imsdahl, orchestral piano) --$tBagatelles, op. 47.$tAllegretto scherzando ;$tPoco allegro /$rAnton{acute}in Dvor{acute}ak (Madeleine Traverse and Emily Jeng, violins ; Daniel LaChapelle, cello ; Jeff Cox, piano) --$tViolin sonata no. 2 in D minor, op. 94bis.$tModerato ;$tPresto--poco piu mosso del--tempo I /$rSergei Prokofiev (Marit Imsdahl, violin ; Solveig Imsdahl, piano).",,"\\$oRecorded$d2012 November 18,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/18/12 0:00,Student chamber music recital.,20121118_Student_Chamber_Music_Recital,
,00$aViolin studio recital :$bstudents of Ariana Kim.,0\$aVarious performers.,"00$tRomance no. 2 in F major, op. 50 /$rLudwig van Beethoven (Ben Nosarzewski, with Judy Park, piano) --$tConcerto in E minor, op. 64.$tAllegro molto appassionato /$rFelix Mendelssohn (Sam Johnson, with Ms. Park) --$tSonata no. 1 in G minor for solo violin, S. 1001.$tAdagio$r(Lisa Yun) ;$tFuga$r(Jacob Cohen) /$rJohann Sebastian Bach --$tSymphonie espagnole, op. 21.$tAllegro non troppo /$r{acute}Edouard Lalo (Rachael Comunale, with Andrew Zhou, piano) --$tIntroduction and rondo capriccioso /$rCamille Saint-Sa{uml}ens (Akito Nicols, with Mr. Zhou) --$tConcerto in D minor, op. 47.$tAllegro moderato /$rJean Sibelius (Moriah Son, with Mr. Zhou) --$tConcerto in D major, op. 61.$tAllegro ma non troppo /$rBeethoven (Tom Collum, with Ms. Park) --$tIncantation, for solo violin /$rAugusta Read Thomas (Jonathan Park) --$tConcerto in C major, op. 48.$tAllegro molto e con brio /$rDmitry Kabalevsky (Katherine Soule, with Mr. Zhou) --$tPartita no. 2 in D minor for solo violin, S. 1004.$tAllemande ;$tCorrente /$rBach (Paul Hwang) --$tConcerto in E minor /$rJulius Conus (HaeSoo Cheon, with Mr. Zhou) --$tConcerto in D minor, op. 47.$tAllegro moderato /$rSibelius (Ji Min Yang, with Mr. Zhou).","1\$aKim, Ariana.","\\$oRecorded$d2012 November 19,$pBarnes Hall, Cornell University.",TRUE,Barnes,11/19/12 0:00,Violin studio recital: students of Ariana Kim.,20121119_Students_of_Ariana_Kim,
