AccessionNumber,ID NUMBER,KALTURA ID,dc.contributor.author 1,dc.contributor.author 2,dc.contributor.author 3,dc.contributor.author 4,dc.contributor.author 5,dc.contributor.author 6,dc.contributor.author 7,dc.contributor.author 8,dc.contributor.other,dc.date.created,dc.description,dc.description.abstract,dc.description.tableOfContents,dc.format.extent,dc.language.iso,dc.subject.lcsh 1,dc.subject.lcsh 2,dc.subject.lcsh 3,dc.subject.lcsh 4,dc.subject.lcsh 5,dc.subject.lcsh 6,dc.subject.other,dc.title,dc.title.alternative,dc.type
3600899,CUL_Lectures_CU_2010_AM_1_1 | CUL_Lectures_CU_2010_AM_1_2,1_4xr3y1f2 | 1_vs1vr3ny,"Wilson, Kenneth G. (Kenneth Geddes), 1936-2013",,,,,,,,,1985-04-15,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Unions Programming Board., Lecture, April 15, 1985.",Wilson discusses the capabilities and effects of the supercomputer presently being installed at Cornell.,,69 minutes,eng,Cornell University--Computers,Computers,Supercomputers,Parallel processing (Electronic computers),,,,Uncovering the supercomputer,,Sound
3600904,CUL_Lectures_CU_2015_AM_1_1 | CUL_Lectures_CU_2015_AM_1_2,1_m02fyt8t | 1_rb67c0oi,"Saʻdāwī, Nawāl",,,,,,,,,1985-04-17,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Studies Program,Society for the Humanities,Latin American Studies Program,Near Eastern Studies, Department of., Lecture, April 17, 1985.",ElSaadawi discusses the oppression of women in the Third World by imperialist powers and by men in the household and suggests ways in which this oppression hinders creativity.,,60 minutes,eng,Imperialism,Women--Social conditions,"Women--Legal status, laws, etc",Developing countries--Women,,,,Third world women and creativity,,Sound
3600848,CUL_Lectures_CU_2078_AM_1_1 | CUL_Lectures_CU_2078_AM_1_2,1_lvopsyhs | 1_741q16sn,"Pendleton, Clarence M., Jr",,,,,,,,,1985-07-24,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Chairman of the U.S. Civil Rights Commission., Lecture, July 24, 1985.",Pendleton describes the problem of discrimination in the United States and suggests some solutions to it.,,75 minutes,eng,Civil rights--United States,Race discrimination--Law and legislation,Discrimination,,,,,Civil rights: where do we go from here?,,Sound
3604611,CUL_Lectures_CU_2086_AM_1_1 | CUL_Lectures_CU_2086_AM_1_2 | CUL_Lectures_CU_2086_AM_2_1,1_4y0f8h42 | 1_is3t9q41 | 1_temd0nq7,"Derrida, Jacques",,,,,,,,,1985-09-11,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Andrew D. White Professors-At-Large Program., Speaker(s): French philosopher and author., Lecture, September 11, 1985.","Derrida translates, reads, and discusses the work of Heidegger.",,115 minutes,eng,"Heidegger, Martin, 1889-1976",History--Philosophy,Philosophy,,,,,Heidegger's hand,Andrew D. White Professors-At-Large lectures.,Sound
3600847,CUL_Lectures_CU_2109_AM_1_1 | CUL_Lectures_CU_2109_AM_1_2,1_23yl6w0r | 1_vggaymd7,"Stockwell, John, 1937-","MacMichael, David C.","Kenworthy, Eldon G.","Hathaway, Dale",,,,,,1985-10-02,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Student Finance Commission,Committee on United States-Latin American Relations (CUSLAR)., Panel, October 2, 1985.","Panel discusses several aspects of the CIA: recruitment on campus, international law and involvement in Central America, an ""inside"" view of the organization, and current CIA operations in Nicaragua.",,150 minutes,eng,United States. Central Intelligence Agency,Cornell University--Recruiting,Intelligence service,International relations,United States--Foreign relations--Central America,,,Secret wars of the CIA,,Sound
3600787,CUL_Lectures_CU_2133_AM_1_1 | CUL_Lectures_CU_2133_AM_1_2,1_ggqlgc2v | 1_5eu5mnoe,"Shevchenko, Arkady N.",,,,,,,,,1985-10-24,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Center for International Studies., Speaker(s): Soviet defector and former Soviet diplomat., Lecture, October 24, 1985.",Shevchenko describes his own experiences as a Soviet diplomat and as a defector from the Soviet Union and discusses US-USSR relations.,,55 minutes,eng,Political refugees--Soviet Union,Defectors,United States--Foreign relations--Soviet Union,Soviet Union--Foreign relations--United States,,,,Breaking with Moscow: revelations of a Soviet diplomat,,Sound
3600299,CUL_Lectures_CU_2148_AM_1_1 | CUL_Lectures_CU_2148_AM_1_2,1_nn1w83vv | 1_n9d9l5dw,"Schwaetzer, Irmgard, 1942-",,,,,,,,,1985-10-30,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Member of the Free Democratic Party., Lecture, October 30, 1985.",Adan-Schaetzer discusses West German political parties and social political conditions in West Germany.,,60 minutes,eng,,,,,,,,West German parties and their politics,,Sound
3600800,CUL_Lectures_CU_2163_AM_1_1 | CUL_Lectures_CU_2163_AM_1_2,1_bsyo2b68 | 1_orzz47ia,"Soyinka, Wole",,,,,,,,,1985-11-11,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, November 11, 1985.",Soyinka provides a detailed analysis of African art and discusses Western attitudes toward it.,,75 minutes,eng,African literature,"Art, African",,,,,,Outward glance and inward retreat: ambivalence in African arts and literature,,Sound
3600716,CUL_Lectures_CU_2199_AM_1_1,1_y5jrscu7,"Said, Edward W.",,,,,,,,,1986-02-06,"Recorded in Ithaca, NY by Cornell University., Lecture, February 6, 1986.","Said examines the intertwined relationship between history, culture, and imperialism.",,85 minutes,eng,Culture,Imperialism,,,,,,"Culture and imperialism: overlapping territories, intertwined histories",Culture and imperialism.|Messenger lectures.,Sound
3600511,CUL_Lectures_CU_2200_AM_1_1 | CUL_Lectures_CU_2200_AM_1_2,1_wj75w88l | 1_5y1zou4j,"Said, Edward W.",,,,,,,,,1986-02-07,"Recorded in Ithaca, NY by Cornell University., Lecture, February 7, 1986.","Said describes the ""imperialist vision"" as it is manifested in culture, especialy in literature.",,90 minutes,eng,Culture,Imperialism,British literature,,,,,Culture and imperialism: consolidated vision,Culture and imperialism.|Messenger lectures.,Sound
3600510,CUL_Lectures_CU_2201_AM_1_1 | CUL_Lectures_CU_2201_AM_1_2,1_rl1tev1r | 1_7cwo4das,"Said, Edward W.",,,,,,,,,1986-02-10,"Recorded in Ithaca, NY by Cornell University., Lecture, February 10, 1986.",Said describes the political and cultural subjugation of non-Western culture and explains changes in the nature of imperialism.,,60 minutes,eng,Culture,Imperialism,British literature,Great Britain--Foreign relations,,,,Culture and imperialism: opposition and resistance,Culture and imperialism.|Messenger lectures.,Sound
3600509,CUL_Lectures_CU_2202_AM_1_1 | CUL_Lectures_CU_2202_AM_1_2,1_grzgwz0j | 1_t9fawh2l,"Said, Edward W.",,,,,,,,,1986-02-11,"Recorded in Ithaca, NY by Cornell University., Lecture, February 11, 1986.","Said explains the history, current perspective, and impact of colonialism and imperialism.",,85 minutes,eng,Imperialism,World politics,Great Britain--Foreign relations,,,,,"Culture and imperialism: domination, future-style",Culture and imperialism.|Messenger lectures.,Sound
3600516,CUL_Lectures_CU_2208_AM_1_1 | CUL_Lectures_CU_2208_AM_1_2,1_z42jpjen | 1_us0pu1th,"Vlastos, Gregory",,,,,,,,,1986-02-28,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Classics, Department of., Lecture, February 28, 1986.",Vlastos discusses and defines common uses of irony by referring to the classical works of Aristotle and Socrates.,,60 minutes,eng,Socrates,Aristotle,Irony,Irony in literature,,,,Socratic irony,Cornell studies in classical philology. Townsend lectures.,Sound
3600512,CUL_Lectures_CU_2209_AM_1_1 | CUL_Lectures_CU_2209_AM_1_2,1_wq6a4j3e | 1_wooakn33,"Randel, Don Michael",,,,,,,,,1986-02-19,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Lecture, February 19, 1986.","Randel explains how musicologists define ""Western art music"" and mentions some of the problems scholars have with music definition.",,78 minutes,eng,Music--Terminology,Music,Musicology--Periodicals,,,,,Defining music,,Sound
3600513,CUL_Lectures_CU_2210_AM_1_1 | CUL_Lectures_CU_2210_AM_1_2,1_q9qkh66n | 1_kx1gqz94,"McCleary, Peter",,,,,,,,,1986-02-19,"Recorded in Ithaca, NY by Cornell University., Sponsored by: History and Philosophy of Science and Technology, Program in the., Lecture, February 19, 1986.","McCleary discusses technology, emphasizing architecture, and its interaction with society. He proposes that experience and knowledge of the world is through ""levels of mediation with the physical world"".",,80 minutes,eng,Architecture and society,Technology--Social aspects,Existentialism,"Philosophy, Modern--20th century",,,1900 - 1999,The metamorphosis of perception through production,,Sound
3600199,CUL_Lectures_CU_2213_AM_1_1 | CUL_Lectures_CU_2213_AM_1_2,1_fzzyguuq | 1_pycbanlp,"Fuentes, Carlos",,,,,,,,,1986-02-24,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): Fuentes is a noted Mexican author and critic., Lecture, February 24, 1986.",Fuentes looks at the Spanish legacy of Latin America and the situation at the end of the 15th century and beginning of the 16th century.,,62 minutes,eng,Latin America--Civilization,Latin America--History,Latin America--Politics and government,,,,,Latin America and the West: historical origins and cultural contexts--#4: The West we knew,,Sound
3600496,CUL_Lectures_CU_2215_AM_1_1 | CUL_Lectures_CU_2215_AM_1_2,1_o005ee4f | 1_v6j53ktr,"Vlastos, Gregory",,,,,,,,,1986-02-25,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Classics, Department of., Lecture, February 25, 1986.","Vlastos claims that there are two different Socrates, one which might be called ""historical"" and the other which might be called ""philosophical"". He asserts that the ""second"" Socrates is prevalent in Plato's writings.",,70 minutes,eng,Socrates,Plato,"Philosophy, Ancient",,,,,Socrates' contra Socrates' in Plato,Cornell studies in classical philology. Townsend lectures.,Sound
3600401,CUL_Lectures_CU_2234_AM_1_1 | CUL_Lectures_CU_2234_AM_1_2,1_2lggjv0s | 1_yok14km7,"Ehrenreich, Barbara",,,,,,,,,1986-03-10,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Women's Studies Program,Telluride Association., Lecture, March 10, 1986.","Ehrenreich talks about the gains women have made through the feminist movement but focuses mainly on the problems that women still face, particularly abortion, sexuality, and economic rights.",,80 minutes,eng,Feminism,Women's rights,,,,,,The feminist movement today: a historical perspective,,Sound
3600203,CUL_Lectures_CU_2253_AM_1_1 | CUL_Lectures_CU_2253_AM_1_2,1_9u68cuo1 | 1_2urcwki2,"Fuentes, Carlos",,,,,,,,,1986-03-31,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities., Speaker(s): Fuentes is a noted Mexican author and critic., Lecture, March 31, 1986.","Fuentes describes the turmoil and reforms of 18th century Spain and how they contributed to a loss of power over Spanish lands in the New World, resulting in the wars leading to the independence of Latin America from Spain.",,46 minutes,eng,Latin America--Civilization,Latin America--History,Latin America--Politics and government,Spain--Civilization--History--18th century,Spain--Revolution of American colonies,,1700 - 1799,Latin America and the West: historical origins and cultural contexts--#8: The revolutions of independence,,Sound
3600322,CUL_Lectures_CU_2254_AM_1_1 | CUL_Lectures_CU_2254_AM_1_2,1_wtrtt08d | 1_3kd3laup,"Vlastos, Gregory",,,,,,,,,1986-04-01,"Recorded in Ithaca, NY by Cornell University., Notes., Sponsored by: Classics, Department of., Lecture, April 1, 1986.","Vlastos describes the conflict between the views of Socrates and the Lex Talionis, the ancient doctrine of retaliation.",,60 minutes,eng,Socrates,"Philosophy, Ancient",Lex talionis,,,,,Socratic rejection of the Lex talionis,,Sound
3600236,CUL_Lectures_CU_2309_AM_1_1 | CUL_Lectures_CU_2309_AM_1_2,1_d5dgspna | 1_mpt7pr9i,"Rodríguez, Alí",,,,,,,,,1986-04-07,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Education Against Oppression., Speaker(s): Rodriquez was a trade unionist forced to flee El Salvador., Lecture, April 7, 1986.","Using a translator, Rodriquez describes his own experiences of the current chaotic situation in El Salvador.",,80 minutes,eng,,,,,,,,The situation in El Salvador,,Sound
3600213,CUL_Lectures_CU_2313_AM_1_1 | CUL_Lectures_CU_2313_AM_1_2 | CUL_Lectures_CU_2313_AM_2_1,1_nog0yeby | 1_63060uiq | 1_brucm4bu,"Kishwar, Madhu",,,,,,,,,1986-07-31,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell India Association., Speaker(s): Editor of ""Manushi""., Lecture, July 31, 1986.","Kishwar describes the goals and works of ""Manushi,"" an Indian journal about women and society, and answers questions concerning civil rights problems in India.",,100 minutes,eng,Women's rights--India,Minorities--India,India--Social conditions,,,,,The women's movement in India,,Sound
3600211,CUL_Lectures_CU_2367_AM_1_1 | CUL_Lectures_CU_2367_AM_1_2 | CUL_Lectures_CU_2367_AM_2_1,1_aef6tegq | 1_drhyla14 | 1_1jlrcwzd,"Ḥabībī, Imīl",,,,,,,,,1986-10-29,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Palestine Human Rights Committee (PHRC)., Speaker(s): Habiby is a founding member of the Palestinian Communist Party and editor- in-chief of the largest Arabic paper in Israel., Lecture, October 29, 1986.",Habiby traces the history of a systematic policy of the State of Israel from 1948 to the present of eliminating Arabs from Israel.,,100 minutes,eng,,,,,,,,The Palestinian as Israeli citizen,,Sound
3600161,CUL_Lectures_CU_2400_AM_1_1 | CUL_Lectures_CU_2400_AM_1_2,1_7svhr9rg | 1_hqrpjdzu,"Kahane, Meir",,,,,,,,,1986-11-16,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Jewish Awareness Network., Speaker(s): Lecturer founded the Jewish Defense League and is a member of Israel's parliament, the Knesset., Lecture, November 16, 1986.","Kahane presents his views on the state of Israel and the presence of Arabs in Israel while responding to a hostile, heckling crowd.",,65 minutes,eng,Jewish nationalism,Jews--Identity,Zionism,,,,,Speaking at Cornell,,Sound
3600091,CUL_Lectures_CU_2411_AM_1_1 | CUL_Lectures_CU_2411_AM_1_2,1_xne36r43 | 1_01xl7li0,"Chomsky, Noam",,,,,,,,,1987-02-09,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Education Against Oppression., Speaker(s): Lecturer is Professor of Linguistics at Massachusetts Institute of Technology, prominent speaker and author in linguistics and social issues., Lecture, February 9, 1987.","Chomsky analyzes the activity of the Reagan administration as a right turn' in U.S. government policy, citing such things as a transfer of resources from the poor to the wealthy, an increase in state power and economic control, and an activist foreign policy.",,,eng,United States--Foreign relations--1981-,United States--Politics and government,,,,,Since 1981,U.S. international and security policy: the right turn' in historical perspective,,Sound
3600168,CUL_Lectures_CU_2430_AM_1_1 | CUL_Lectures_CU_2430_AM_1_2,1_xsjw2sr0 | 1_5284i4h1,"Orlov, Yuri, 1924-","Dudley, Mary Jo, 1956-",,,,,,,,1987-02-27,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Amnesty International., Speaker(s): Orlov is a physicist at Cornell who was recently allowed to emigrate from the Soviet Union. Dudley is coordinator of CUSLAR., Panel, February 27, 1987.",The speakers discussed human rights violations in the Soviet Union and El Salvador and answered questions from the audience. Orlov used an interpreter.,,85 minutes,eng,Civil rights--El Salvador,Civil rights--Soviet Union,,,,,,Human rights violations in the Soviet Union and El Salvador,,Sound
3600250,CUL_Lectures_CU_2486_AM_1_1 | CUL_Lectures_CU_2486_AM_1_2,1_brez3g6p | 1_vjj07x2p,"Jordanova, L. J.",,,,,,,,,1987-05-01,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Society for the Humanities,Women's Studies Program., Lecture, May 1, 1987.","Jordanova formulates a correlation between the unveiling of women's bodies and actions in art, science and medicine.",,65 minutes,eng,Feminine beauty (Aesthetics),Women in art,,,,,,Nature unveiling before science: images of women and knowledge,"Women, science, and the body: discourses and representations.",Sound
3600289,CUL_Lectures_CU_2509_AM_1_1 | CUL_Lectures_CU_2509_AM_1_2,1_9ovqhy8v | 1_saeh8fdu,"Lowi, Theodore J.",,,,,,,,,1987-07-08,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Summer Session, Extramural Study, and Related Programs, Division of., Speaker(s): Professor of Government, Cornell University., Lecture, July 8, 1987.",Lowi argues that deception and bad policy making in the Executive Branch arise from the cold war culture and the plebiscitory presidency.,,86 minutes,eng,,,,,,,,What is there about the White House that makes its occupants want to do bad things?,,Sound
3600415,CUL_Lectures_CU_2517_AM_1_1 | CUL_Lectures_CU_2517_AM_1_2,1_p7dlp2qm | 1_orrvpeom,"Salo, Arvo",,,,,,,,,1987-09-25,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Mellon Visiting Fellow of the Western Societies Program, Finnish journalist, dramatist, poet, and politician, Artist-Professor at the University of Finland., Lecture, September 25, 1987.",Salo discusses the state supported art system in Finland.,,77 minutes,eng,"Arts, Finnish",Arts--Management--Finland,,,,,,The autonomy of the arts and the administration of culture,,Sound
3600701,CUL_Lectures_CU_2526_AM_1_1 | CUL_Lectures_CU_2526_AM_1_2,1_kdtas6ka | 1_zjx4u6hh,"Salo, Arvo",,,,,,,,,1987-10-06,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Playwright, Former Minister of Culture in Finland, Former head of the Finnish Social Democratic Party., Lecture, October 6, 1987.","Salo gives an overview of Finland's ""westernization"".",,90 minutes,eng,Finland--Economic conditions--1945-1981,Finland--Foreign relations--1945-,Finland--History--1939-1945,Finalnd--Politics and government--1945-,,,Since 1939,How Finland went western,,Sound
3600526,CUL_Lectures_CU_2540_AM_1_1 | CUL_Lectures_CU_2540_AM_1_2,1_juoofz79 | 1_kiawmmps,"Otto, Christian",,,,,,,,,1987-10-18,"Recorded in Ithaca, NY by Cornell University., Sponsored by: German Literature, Department of,Society for the Humanities., Speaker(s): Professor of architecture, Cornell., Lecture, October 18, 1987.","Otto addresses the relationship between fascism and architecture, focusing on the single case study of the 1927 Stuttgart architectural exhibition. He suggests that architecture held an obsessive importance for the Nazis.",,71 minutes,eng,Architecture--Germany,Architecture and society,National socialism,Fascism,Germany--Politics and government--1933-1945,,1933 - 1945,Fascism and architecture,Fascism and German culture.,Sound
3600525,CUL_Lectures_CU_2545_AM_1_1 | CUL_Lectures_CU_2545_AM_1_2,1_7fahk8ue | 1_2h34l14k,"O'Hara, Maureen","Seznec, Alain","Mermin, N. David","Randel, Don Michael",,,,,,1987-10-24,"Recorded in Ithaca, NY by Cornell University., Sponsored by: University Library., Speaker(s): Seznec acts as moderator., Panel, October 24, 1987.",The three speakers discussed the need for modifications within the various libraries on campus.,,55 minutes,eng,Cornell University--Libraries,Academic libraries--Aims and objectives,Academic libraries--Self-evaluation,,,,,"Database or cultural treasury -- the crucial balance, Cornell University Libraries in the year 2000",,Sound
3600419,CUL_Lectures_CU_2552_AM_1_1 | CUL_Lectures_CU_2552_AM_1_2 | CUL_Lectures_CU_2552_AM_2_1,1_u8opkmmq | 1_wgp7kyn9 | 1_zd58uibz,"Salpeter, Edwin E.",,,,,,,,,1987-10-28,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Science, Technology and Society, Program on,Society for Awareness in Science (SAS)., Speaker(s): Saltpeter is the James Gilbert White Distinguished Professor in the Physical Sciences and has been a member of the President's Scientific Advisory Committee and Director of the Center for Radiophysics and Space Research., Lecture, October 28, 1987.",Saltpeter describes his involvement in scietific consultation regarding government military projects.,,85 minutes,eng,Military research,Scientists in government,,,,,,A university physicist and the pentagon: consulting for the military in the 60's,,Sound
3600696,CUL_Lectures_CU_2554_AM_1_1 | CUL_Lectures_CU_2554_AM_1_2,1_ioapk3x4 | 1_7cybr008,"Swaminathan, M. S. (Monkombu Sambasivan)",,,,,,,,,1987-10-30,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Director General, International Rice Research Institute of the Republic of the Philippines., Lecture, October 30, 1987.",Swaminathan explains the benefits and concerns of the green revolution.,,65 minutes,eng,Green Revolution,Agricultural productivity,,,,,,The green revolution revisited,,Sound
3600435,CUL_Lectures_CU_2561_AM_1_1 | CUL_Lectures_CU_2561_AM_1_2,1_r2wdo7c2 | 1_9je9nvpx,"Otto, Christian F.",,,,,,,,,1987-11-05,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Architecture, Department of., Speaker(s): Professor, History of Architecture, Cornell University., Lecture, November 5, 1987.",Otto traces the history of Neumann's various architectural endeavors.,,72 minutes,eng,,,,,,,,Neumann--presence and history,Preston H. Thomas memorial lectures.,Sound
3600492,CUL_Lectures_CU_2565_AM_1_1 | CUL_Lectures_CU_2565_AM_1_2,1_n7aco6z2 | 1_qcb3zv3k,"Kahane, Meir",,,,,,,,,1987-11-09,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Jewish Awareness Network,Cornell Political Forum., Speaker(s): Member of the Israeli Knesset., Lecture, November 9, 1987.","Kahane tells stories of Jews being killed in Israel, stories which he claims are never heard in the popular press. He speaks of a contradiction between zionism and Western democracy noting that the development of a Jewish state necessitates a locale with a majority of Jews. This, he says, is contrary to democracy which relies on numerical superiority to define the ""majority"".",,111 minutes,eng,Zionism,Jews--Territorialism,Israel--Foreign relations,,,,,Meir Kahane speaks at Cornell,,Sound
3600470,CUL_Lectures_CU_2569_AM_1_1 | CUL_Lectures_CU_2569_AM_1_2 | CUL_Lectures_CU_2569_AM_2_1,1_pxc3qs10 | 1_deh5m88r | 1_96569xv0,"Karoniaktatie, Rokwaho, 1953-",,,,,,,,,1987-11-11,"Recorded in Ithaca, NY by Cornell University., Sponsored by: American Indian Program., Reading, November 11, 1987.",Two native American Indian poets read from their works.,,95 minutes,eng,,,,,,,,An evening with two Mohawk poets,,Sound
3600414,CUL_Lectures_CU_2575_AM_1_1 | CUL_Lectures_CU_2575_AM_1_2,1_cyv7uma4 | 1_k4yqak2i,"Salinger, Pierre",,,,,,,,,1987-11-12,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Center for International Studies,University Events (Public Affairs) Office of., Speaker(s): The Henry E. and Nancy Horton Bartels World Affairs Fellow, ABC News Chief Foreign Correspondent, Paris, Former Press Secretary to Presidents John F. Kennedy and Lyndon B. Johnson., Lecture, November 12, 1987.","Salinger discusses his experiences as a news correspondent and his views regarding American foreign policy, including his encouragement for individuals to be involved and informed regarding current affairs.",,88 minutes,eng,United States--Politics and government,United States--Foreign relations,,,,,,The dangerous realities of America's misperceptions of the world,,Sound
3600457,CUL_Lectures_CU_2578_AM_1_1 | CUL_Lectures_CU_2578_AM_1_2,1_lldo53q6 | 1_jtx4xqeu,"Turner, Judith",,,,,,,,,1987-11-13,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Art, Department of,Council on the Creative and Performing Arts., Speaker(s): Turner is a professional photographer., Lecture, November 13, 1987.",Turner discusses her slides which show different aspects of interior design.,,75 minutes,eng,"Photography, Artistic",Architectural photography,,,,,,Annotations on ambiguity,"New York State capital in Albany: preservation, planning, architectural history, and photography.|Nancy G. Dickenson visiting artist lectures.",Sound
3600474,CUL_Lectures_CU_2581_AM_1_1,1_k53cgn1g,"Hart, Gary, 1936-",,,,,,,,,1987-11-16,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Cornell University Program Board., Speaker(s): United States Senator (Dem.- Colorado), former presidential candidate., Lecture, November 16, 1987.","Hart discusses the importance of politics in everyone's lives and calls for a theme of excellence in the country's education, domestic spending, foreign policy and outlook for the future.",,70 minutes,eng,,,,,,,,America's third century: an agenda for reform,,Sound
3600420,CUL_Lectures_CU_2582_AM_1_1 | CUL_Lectures_CU_2582_AM_1_2,1_wjdvyabi | 1_hznp9ikr,"Weizsäcker, Carl Friedrich, Freiherr von, 1912-2007",,,,,,,,,1987-11-17,"Recorded in Ithaca, NY by Cornell University., Speaker(s): Professor emeritus of physics and philosophy, Universities of Munich and Hamburg., Lecture, November 17, 1987.",Von Weizsacker explains his personal view of philosophy and the philosophy of science.,,80 minutes,eng,,,,,,,,Ideas on the philosophy of science,Philosophical and political consequences of modern science.,Sound
3600428,CUL_Lectures_CU_2587_AM_1_1,1_ctt2k1de,"Weizsäcker, Carl Friedrich, Freiherr von, 1912-2007",,,,,,,,,1987-11-20,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program., Speaker(s): Professor of physics and philosophy, Universities of Munich and Hamburg., Lecture, November 20, 1987.","Weizsacker holds that scientists should feel responsible for the social, political and ecological consequences of modern science and technology and should act accordingly.",,80 minutes,eng,Science--Social aspects,Science--Moral and ethical aspects,,,,,,Political and moral consequences of science,Philosophical and political consequences of modern science.|Messenger lectures.,Sound
3600372,CUL_Lectures_CU_2614_AM_1_1 | CUL_Lectures_CU_2614_AM_1_2,1_9qqyy2p8 | 1_es4ohndj,"Khan, Shoaib Sultan",,,,,,,,,1988-01-29,"Recorded in Ithaca, NY by Cornell University., Sponsored by: City and Regional Planning, Dept. of., Lecture, January 29, 1988.",Khan describes his efforts in coordinating the regional development of rural tribes in Northern Pakistan.,,92 minutes,eng,Agricultural development projects--Pakistan,Pakistan--Economic conditions,,,,,,New approaches to rural development participation: the Aga Khan Rural Support Program in Northern Pakistan,International studies in planning seminars.,Sound
3600575,CUL_Lectures_CU_2658_AM_1_1 | CUL_Lectures_CU_2658_AM_1_2,1_qmbu8777 | 1_1a2743g3,"Ali, Tariq","Mohanty, Satya P. (Satya Prakash), 1954-","Herskowitz, Richard","Caputi, Anthony Francis, 1924-","Bershen, Wanda",,,,,1988-02-26,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program,Cornell Cinema,Council on the Creative and Performing Arts,Society for the Humanities,Arts College Dean's Fund,Near Eastern Studies, Department of., Speaker(s): Tarig Ali is a director with Banden Productions. Wanda Bershen is a programmer with CUNY T.V., New York. Anthony Caputi is a Cornell professor of Comparative Literature. Richard Herskowitz is the director of Cornell Cinema. Satya P. Mohanty is a Cornell English professor and a 1988 Society for the Humanities fellow., Panel, February 26, 1988.","The panel discusses the British response to ""Sammy and Rosie Get Laid"".",,70 minutes,eng,Minorities,Film criticism,Europe--Ethnic relations,Great Britain--Ethnic relations,Great Britain--In motion pictures,,,"""Sammy and Rosie Get Laid"": a round-table discussion of the film",New ethnic minorities in European culture.,Sound
3600545,CUL_Lectures_CU_2664_AM_1_1,1_9m0h7fug,"Ali, Tariq",,,,,,,,,1988-02-28,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Western Societies Program,Cornell Cinema,Council on the Creative and Performing Arts,Society for the Humanities,Arts College Dean's Fund,Near Eastern Studies, Department of., Speaker(s): Ali is a director with Banden (film) Productions., Lecture, February 28, 1988.",Ali discusses changes in British intellectual life since the decline of the British Empire.,,21 minutes,eng,Minorities,Europe--Ethnic relations,Great Britain--Ethnic relations,,,,,Reshaping British consciousness,New ethnic minorities in European culture.,Sound
3600554,CUL_Lectures_CU_2672_AM_1_1 | CUL_Lectures_CU_2672_AM_1_2,1_ruacqx8g | 1_glz4ouk0,"Chavez, Cesar, 1927-1993",,,,,,,,,1988-03-03,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Mexican American Student Association., Speaker(s): Founder and President, United Farmworkers Union., Lecture, March 3, 1988.",Chavez presents the movement of the United Farm Workers to boycott California grapes due to the alleged use of pesticides and unfair labor practices by growers.,,75 minutes,eng,Agricultural laborers--United States,Agricultural laborers--Labor unions,Mexican American agricultural laborers,Discrimination in employment--United States,,,,The wrath of grapes,,Sound
3600375,CUL_Lectures_CU_2682_AM_1_1 | CUL_Lectures_CU_2682_AM_1_2,1_8oa9on3e | 1_re4mdpug,"Lipstadt, Deborah E.",,,,,,,,,1988-03-10,"Recorded in Ithaca, NY by Cornell University., Sponsored by: Near Eastern Studies, Department of., Speaker(s): Hebrew University Fellow., Lecture, March 10, 1988.",Lipstadt discusses the Jewish American Princess stereotype as a socially sanctioned expression of anti-semitism.,,60 minutes,eng,Antisemitism--United States,Stereotypes (Social psychology),Social psychology,,,,,The myth of the American Jewish princess,,Sound
