001,005,007,008,035_##$a,040_##$a,040_##$c,040_##$d,045_##$a,100_1#$a,100_1#$c,100_1#$d,100_1#$q,240_10$a,240_10$l,245_10$a,245_10$b,245_10$h,245_12$a,245_12$h,245_13$a,245_13$h,245_14$a,245_14$h,260_##$c,300_##$a,300_##$b,500_##$a,505_0#$a,510_4#$a,510_4#$b,510_4#$c,518_##$a,520_##$a,540_##$a,600_00$a,600_00$d,600_00$x,600_07$0,600_07$2,600_07$a,600_07$d,600_10$a,600_10$d,600_10$q,600_10$t,600_10$x,600_17$0,600_17$2,600_17$a,600_17$d,600_17$q,610_10$a,610_10$b,610_17$0,610_17$2,610_17$a,610_17$b,610_20$a,610_20$x,610_20$y,610_27$0,610_27$2,610_27$a,611_27$0,611_27$2,611_27$a,630_#7$0,630_#7$2,630_#7$a,630_00$a,648_#7$2,648_#7$a,650_#0$a,650_#0$v,650_#0$x,650_#0$y,650_#0$z,650_#7$0,650_#7$2,650_#7$a,650_#7$x,651_#0$a,651_#0$x,651_#0$y,651_#0$z,651_#7$0,651_#7$2,651_#7$a,651_#7$z,655_#7$0,655_#7$2,655_#7$a,700_1#$a,700_1#$c,700_1#$d,700_1#$q,710_1#$4,710_1#$a,710_1#$b,830_#0$a,830_#0$p,830_#4$a,899_1#$a,905_##$a,948_2#$a,948_2#$b,948_2#$d,948_2#$e,948_2#$x,leader
3600213,20151214182524.0,ss|lmnjluz|nuu,991101s1986 nyunnn l eng d,(OCoLC)63895715,NIC,NIC,NIC,,"Kishwar, Madhu.",,,,,,,,,,,,,The women's movement in India,[sound recording],1986.,2 sound cassettes (100 min.) :,"analog, mono.","Speaker(s): Editor of ""Manushi"".",,,,,"Lecture, July 31, 1986.","Kishwar describes the goals and works of ""Manushi,"" an
                Indian journal about women and society, and answers questions concerning civil
                rights problems in India.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minorities,,,,India.,(OCoLC)fst01178818,fast,Women's rights,,India,Social conditions.,,,(OCoLC)fst01210276,fast,India,,,,,,,,,,,,,,,CULectures,20000414120000.0,20141221,m,batch,lts,addfast,01285cim a22003492u 4500
3600211,20151214182524.0,ss|lmnjluz|nuu,991101s1986 nyunnn l eng d,(OCoLC)63895712,NIC,NIC,NIC,,"Ḥabībī, Imīl.",,,,,,,,,,,,,The Palestinian as Israeli citizen,[sound recording],1986.,2 sound cassettes (100 min.) :,"analog, mono.","Speaker(s): Habiby is a founding member of the Palestinian Communist
                Party and editor- in-chief of the largest Arabic paper in Israel.",,,,,"Lecture, October 29, 1986.","Habiby traces the history of a systematic policy of the State of
                Israel from 1948 to the present of eliminating Arabs from Israel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palestinian Arabs,,,Israel.,,(OCoLC)fst01069781,fast,Political science,,Israel,Politics and government.,,,(OCoLC)fst01204236,fast,Israel,,,,,,,,,,,,,,,CULectures,20000425120000.0,20141221,m,batch,lts,addfast,01316cim a22003252u 4500
3600161,20151214182512.0,ss|lmnjluz|nuu,991101s1986 nyunnn l eng d,(OCoLC)63895638,NIC,NIC,NIC,,"Kahane, Meir.",,,,,,Speaking at Cornell,,[sound recording],,,,,,,1986.,1 sound cassette (65 min.) :,"analog, mono.","Speaker(s): Lecturer founded the Jewish Defense League and is a
                member of Israel's parliament, the Knesset.",,,,,"Lecture, November 16, 1986.","Kahane presents his views on the state of Israel and the presence of
                Arabs in Israel while responding to a hostile, heckling crowd.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zionism.,,Identity.,,,(OCoLC)fst01184468,fast,Zionism,Identity,,,,,,,,,,,,,,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01285cim a22003492u 4500
3600091,20151214182500.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63895511,NIC,NIC,NIC,,"Chomsky, Noam.",,,,,,"U.S. international and security policy: the right turn' in
                historical perspective",,[sound recording],,,,,,,1987.,1 sound cassette :,"analog, mono.","Speaker(s): Lecturer is Professor of Linguistics at Massachusetts
                Institute of Technology, prominent speaker and author in linguistics and social
                issues.",,,,,"Lecture, February 9, 1987.","Chomsky analyzes the activity of the Reagan administration as a right
                turn' in U.S. government policy, citing such things as a transfer of resources
                from the poor to the wealthy, an increase in state power and economic control, and
                an activist foreign policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,Since 1981,,,,,,(OCoLC)fst01069781,fast,Political science,,United States,Politics and government,1981-,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000412120000.0,20141221,m,batch,lts,addfast,01583cim a22003492u 4500
3600168,20151214182514.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63895647,NIC,NIC,NIC,,"Orlov, Yuri,",,1924-,,,,"Human rights violations in the Soviet Union and El
                Salvador",,[sound recording],,,,,,,1987.,1 sound cassette (85 min.) :,"analog, mono.","Speaker(s): Orlov is a physicist at Cornell who was recently allowed
                to emigrate from the Soviet Union. Dudley is coordinator of CUSLAR.",,,,,"Panel, February 27, 1987.","The speakers discussed human rights violations in the Soviet Union
                and El Salvador and answered questions from the audience. Orlov used an
                interpreter.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Civil rights,,,,Soviet Union.,(OCoLC)fst00862627,fast,Civil rights,,,,,,(OCoLC)fst01210281,fast,Soviet Union,,,,,"Dudley, Mary Jo,",,1956-,,,,,,,,CULectures,20000225120000.0,20141221,m,batch,lts,addfast,01417cim a22003492u 4500
3600250,20151214182531.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63895774,NIC,NIC,NIC,,"Jordanova, L. J.",,,,,,"Nature unveiling before science: images of women and
                knowledge",,[sound recording],,,,,,,1987.,1 sound cassette (65 min.) :,"analog, mono.","Sponsored by: Society for the Humanities,Women's Studies
                Program.",,,,,"Lecture, May 1, 1987.","Jordanova formulates a correlation between the unveiling of
                women's bodies and actions in art, science and medicine.",No reproductions authorized.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women in art.,,,,,(OCoLC)fst01177826,fast,Women in art,,,,,,,,,,,,,,,,,,,,"Women, science, and the body: discourses and
                representations.",,,CULectures,20000331120000.0,20141221,m,batch,lts,addfast,01241cim a22003252u 4500
3600289,20151214182537.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63895831,NIC,NIC,NIC,,"Lowi, Theodore J.",,,,,,"What is there about the White House that makes its occupants want to
                do bad things?",,[sound recording],,,,,,,1987.,1 sound cassette (86 min.) :,"analog, mono.","Speaker(s): Professor of Government, Cornell University.",,,,,"Lecture, July 8, 1987.","Lowi argues that deception and bad policy making in the Executive
                Branch arise from the cold war culture and the plebiscitory presidency.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Presidents,,,,United States.,(OCoLC)fst01075723,fast,Presidents,,United States,Politics and government.,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000404120000.0,20141221,m,batch,lts,addfast,01314cim a22003252u 4500
3600415,20151214182558.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896019,NIC,NIC,NIC,,"Salo, Arvo.",,,,,,,,,,,,,The autonomy of the arts and the administration of culture,[sound recording],1987.,1 sound cassette (77 min.) :,"analog, mono.","Speaker(s): Mellon Visiting Fellow of the Western Societies Program;
                Finnish journalist, dramatist, poet, and politician; Artist-Professor at the
                University of Finland.",,,,,"Lecture, September 25, 1987.",Salo discusses the state supported art system in Finland.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arts,,Management,,Finland.,(OCoLC)fst00817771,fast,Arts,Management,,,,,(OCoLC)fst01205503,fast,Finland,,,,,,,,,,,,,,,CULectures,20000121120000.0,20141221,m,batch,lts,addfast,01294cim a22003372u 4500
3600701,20151214182655.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896468,NIC,NIC,NIC,,"Salo, Arvo.",,,,,,How Finland went western,,[sound recording],,,,,,,1987.,1 sound cassette (90 min.) :,"analog, mono.","Speaker(s): Playwright; Former Minister of Culture in Finland; Former
                head of the Finnish Social Democratic Party.",,,,,"Lecture, October 6, 1987.","Salo gives an overview of Finland's
                ""westernization"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,Since 1939,,,,,,(OCoLC)fst01069781,fast,Political science,,Finalnd,Politics and government,1945-,,(OCoLC)fst01205503,fast,Finland,,,,,,,,,,,,,,,CULectures,20000331120000.0,20141221,m,batch,lts,addfast,01433cim a22003852u 4500
3600526,20151214182618.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896188,NIC,NIC,NIC,,"Otto, Christian.",,,,,,Fascism and architecture,,[sound recording],,,,,,,1987.,1 sound cassette (71 min.) :,"analog, mono.","Speaker(s): Professor of architecture, Cornell.",,,,,"Lecture, October 18, 1987.","Otto addresses the relationship between fascism and architecture,
                focusing on the single case study of the 1927 Stuttgart architectural exhibition. He
                suggests that architecture held an obsessive importance for the Nazis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,1933 - 1945,Fascism.,,,,German.,(OCoLC)fst01069781,fast,Political science,,Germany,Politics and government,1933-1945.,,(OCoLC)fst01210272,fast,Germany,,,,,,,,,,,,Fascism and German culture.,,,CULectures,20000119120000.0,20141221,m,batch,lts,addfast,01725cim a22004332u 4500
3600525,20151214182617.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896187,NIC,NIC,NIC,,"O'Hara, Maureen.",,,,,,"Database or cultural treasury -- the crucial balance, Cornell
                University Libraries in the year 2000",,[sound recording],,,,,,,1987.,1 sound cassette (55 min.) :,"analog, mono.",Speaker(s): Seznec acts as moderator.,,,,,"Panel, October 24, 1987.","The three speakers discussed the need for modifications within the
                various libraries on campus.",,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,Libraries.,,(OCoLC)fst00530369,fast,Cornell University,,,,,,,,,,Academic libraries,,Self-evaluation.,,,(OCoLC)fst00997341,fast,Libraries,Aims and objectives,,,,,,,,,,,,"Randel, Don Michael",,,,,,,,,,CULectures,20000314120000.0,20141221,m,batch,lts,addfast,01449cim a22003852u 4500
3600419,20151214182558.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896024,NIC,NIC,NIC,,"Salpeter, Edwin E. ",,,,,,,,,"A university physicist and the pentagon: consulting for the military
                in the 60's",[sound recording],,,,,1987.,2 sound cassettes (85 min.) :,"analog, mono.","Speaker(s): Saltpeter is the James Gilbert White Distinguished
                Professor in the Physical Sciences and has been a member of the President's
                Scientific Advisory Committee and Director of the Center for Radiophysics and Space
                Research.",,,,,"Lecture, October 28, 1987.","Saltpeter describes his involvement in scietific consultation
                regarding government military projects.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scientists in government.,,,,,(OCoLC)fst01108944,fast,Scientists in government,,,,,,,,,,,,,,,,,,,,,,,CULectures,20000320120000.0,20141221,m,batch,lts,addfast,01414cim a22003132u 4500
3600696,20151214182653.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896458,NIC,NIC,NIC,,"Swaminathan, M. S.",,,(Monkombu Sambasivan),,,,,,,,,,The green revolution revisited,[sound recording],1987.,1 sound cassette (65 min.) :,"analog, mono.","Speaker(s): Director General, International Rice Research Institute
                of the Republic of the Philippines.",,,,,"Lecture, October 30, 1987.","Swaminathan explains the benefits and concerns of the green
                revolution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agricultural productivity.,,,,,(OCoLC)fst00947585,fast,Green Revolution,,,,,,,,,,,,,,,,,,,,,,,CULectures,20000328120000.0,20141221,m,batch,lts,addfast,01112cim a22003012u 4500
3600435,20151214182600.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896052,NIC,NIC,NIC,,"Otto, Christian F.",,,,,,Neumann--presence and history,,[sound recording],,,,,,,1987.,1 sound cassette (72 min.) :,"analog, mono.","Speaker(s): Professor, History of Architecture, Cornell
                University.",,,,,"Lecture, November 5, 1987.","Otto traces the history of Neumann's various architectural
                endeavors.",,,,,,,,,"Neumann, Balthasar,",1687-1753.,,,,(OCoLC)fst00088477,fast,"Neumann, Balthasar,",1687-1753,,,,,,,,,,,,,,,,,,,,,,,"Architecture, Baroque.",,,,,(OCoLC)fst00813624,fast,"Architecture, Baroque",,,,,,,,,,,,,,,,,,,,Preston H. Thomas memorial lectures.,,,CULectures,20000403120000.0,20141221,m,batch,lts,addfast,01182cim a22003252u 4500
3600492,20151214182611.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896138,NIC,NIC,NIC,,"Kahane, Meir.",,,,,,Meir Kahane speaks at Cornell,,[sound recording],,,,,,,1987.,2 sound cassettes (111 min.) :,"analog, mono.",Speaker(s): Member of the Israeli Knesset.,,,,,"Lecture, November 9, 1987.","Kahane tells stories of Jews being killed in Israel, stories which he
                claims are never heard in the popular press. He speaks of a contradiction between
                zionism and Western democracy noting that the development of a Jewish state
                necessitates a locale with a majority of Jews. This, he says, is contrary to
                democracy which relies on numerical superiority to define the
                ""majority"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jews,,Territorialism.,,,(OCoLC)fst01184468,fast,Zionism,Territorialism,Israel,Foreign relations.,,,(OCoLC)fst01204236,fast,Israel,,,,,,,,,,,,,,,CULectures,20000425120000.0,20141221,m,batch,lts,addfast,01579cim a22003612u 4500
3600470,20151214182606.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896100,NIC,NIC,NIC,,Karoniaktatie.,,,,,,,,,,,An evening with two Mohawk poets,[sound recording],,,1987.,2 sound cassettes (95 min.) :,"analog, mono.",Sponsored by: American Indian Program.,,,,,"Reading, November 11, 1987.",Two native American Indian poets read from their works.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohawk Indians,,Poetry.,,,(OCoLC)fst01024566,fast,Mohawk Indians,,,,,,,,,,(OCoLC)fst01423828,fast,Poetry,"Rokwaho,",,1953-,,,,,,,,CULectures,20000329120000.0,20141221,m,batch,lts,addfast,00982cim a22003012u 4500
3600414,20151214182557.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896017,NIC,NIC,NIC,,"Salinger, Pierre.",,,,,,,,,,,,,"The dangerous realities of America's misperceptions of the
                world",[sound recording],1987.,1 sound cassette (88 min.) :,"analog, mono.","Speaker(s): The Henry E. and Nancy Horton Bartels World Affairs
                Fellow; ABC News Chief Foreign Correspondent, Paris; Former Press Secretary to
                Presidents John F. Kennedy and Lyndon B. Johnson.",,,,,"Lecture, November 12, 1987.","Salinger discusses his experiences as a news correspondent and his
                views regarding American foreign policy, including his encouragement for individuals
                to be involved and informed regarding current affairs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01069781,fast,Political science,,United States,Foreign relations.,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000320120000.0,20141221,m,batch,lts,addfast,01576cim a22003372u 4500
3600457,20151214182604.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896083,NIC,NIC,NIC,,"Turner, Judith.",,,,,,Annotations on ambiguity,,[sound recording],,,,,,,1987.,1 sound cassette (75 min.) :,"analog, mono.",Speaker(s): Turner is a professional photographer.,,,,,"Lecture, November 13, 1987.","Turner discusses her slides which show different aspects of interior
                design.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Architectural photography.,,,,,(OCoLC)fst01061964,fast,"Photography, Artistic",,,,,,,,,,,,,,,,,,,,Nancy G. Dickenson visiting artist lectures.,,,CULectures,20000331120000.0,20150817,m,pm66,lts,addfast,01351cim a22003492u 4500
3600474,20151214182607.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896107,NIC,NIC,NIC,,"Hart, Gary,",,1936-,,,,America's third century: an agenda for reform,,[sound recording],,,,,,,1987.,1 sound cassette (70 min.) :,"analog, mono.","Speaker(s): United States Senator (Dem.- Colorado); former
                presidential candidate.",,,,,"Lecture, November 16, 1987.","Hart discusses the importance of politics in everyone's lives
                and calls for a theme of excellence in the country's education, domestic
                spending, foreign policy and outlook for the future.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Political oratory.,,,,,(OCoLC)fst01069781,fast,Political science,,United States,Politics and government.,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000301120000.0,20141221,m,batch,lts,addfast,01367cim a22003372u 4500
3600420,20151214182558.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896026,NIC,NIC,NIC,,"Weizsäcker, Carl Friedrich,","Freiherr von,",1912-2007.,,,,Ideas on the philosophy of science,,[sound recording],,,,,,,1987.,1 sound cassette (80 min.) :,"analog, mono.","Speaker(s): Professor emeritus of physics and philosophy,
                Universities of Munich and Hamburg.",,,,,"Lecture, November 17, 1987.","Von Weizsacker explains his personal view of philosophy and the
                philosophy of science.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philosophy and science.,,,,,(OCoLC)fst01060832,fast,Philosophy and science,,,,,,,,,,,,,,,,,,,,"Philosophical and political consequences of modern
                science.",,,CULectures,20000403120000.0,20141221,m,batch,lts,addfast,01114cim a22002892u 4500
3600428,20151214182559.0,ss|lmnjluz|nuu,991101s1987 nyunnn l eng d,(OCoLC)63896039,NIC,NIC,NIC,,"Weizsäcker, Carl Friedrich,","Freiherr von,",1912-2007.,,,,Political and moral consequences of science,,[sound recording],,,,,,,1987.,1 sound cassette (80 min.) :,"analog, mono.","Speaker(s): Professor of physics and philosophy, Universities of
                Munich and Hamburg.",,,,,"Lecture, November 20, 1987.","Weizsacker holds that scientists should feel responsible for the
                social, political and ecological consequences of modern science and technology and
                should act accordingly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Science,,Moral and ethical aspects.,,,(OCoLC)fst01108360,fast,Science,Social aspects,,,,,,,,,,,,,,,,,,,Messenger lectures.,,,CULectures,20000403120000.0,20141221,m,batch,lts,addfast,01423cim a22003372u 4500
3600372,20151214182550.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63895956,NIC,NIC,NIC,,"Khan, Shoaib Sultan.",,,,,,"New approaches to rural development participation: the Aga Khan Rural
                Support Program in Northern Pakistan",,[sound recording],,,,,,,1988.,1 sound cassette (92 min.) :,"analog, mono.","Sponsored by: City and Regional Planning, Dept. of.",,,,,"Lecture, January 29, 1988.","Khan describes his efforts in coordinating the regional development
                of rural tribes in Northern Pakistan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan,,Economic conditions.,,Pakistan.,(OCoLC)fst00800659,fast,Agricultural development projects,,,,,,(OCoLC)fst01210275,fast,Pakistan,,,,,,,,,,,,International studies in planning seminars.,,,CULectures,19991221120000.0,20141221,m,batch,lts,addfast,01240cim a22003132u 4500
3600575,20151214182628.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63896267,NIC,NIC,NIC,,"Ali, Tariq.",,,,,,"""Sammy and Rosie Get Laid"": a round-table discussion of the
                film",,[sound recording],,,,,,,1988.,1 sound cassette (70 min.) :,"analog, mono.","Speaker(s): Tarig Ali is a director with Banden Productions. Wanda
                Bershen is a programmer with CUNY T.V., New York. Anthony Caputi is a Cornell
                professor of Comparative Literature. Richard Herskowitz is the director of Cornell
                Cinema. Satya P. Mohanty is a Cornell English professor and a 1988 Society for the
                Humanities fellow.",,,,,"Panel, February 26, 1988.","The panel discusses the British response to ""Sammy and Rosie Get
                Laid"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Film criticism.,,,,,(OCoLC)fst01027285,fast,Motion pictures,,Great Britain,In motion pictures.,,,(OCoLC)fst01204623,fast,Great Britain,,,,,"Bershen, Wanda.",,1924-,"(Satya Prakash),",,,,New ethnic minorities in European culture.,,,CULectures,20000309120000.0,20141221,m,batch,lts,addfast,02159cim a22004692u 4500
3600545,20151214182623.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63896221,NIC,NIC,NIC,,"Ali, Tariq.",,,,,,Reshaping British consciousness,,[sound recording],,,,,,,1988.,1 sound cassette (21 min.) :,"analog, mono.","Speaker(s): Ali is a director with Banden (film)
                Productions.",,,,,"Lecture, February 28, 1988.","Ali discusses changes in British intellectual life since the decline
                of the British Empire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minorities.,,,,,(OCoLC)fst01023088,fast,Minorities,,Great Britain,Ethnic relations.,,,(OCoLC)fst01204623,fast,Great Britain,,,,,,,,,,,,New ethnic minorities in European culture.,,,CULectures,20000112120000.0,20141221,m,batch,lts,addfast,01491cim a22003732u 4500
3600554,20151214182625.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63896234,NIC,NIC,NIC,,"Chavez, Cesar,",,1927-1993.,,,,,,,,,,,The wrath of grapes,[sound recording],1988.,1 sound cassette (75 min.) :,"analog, mono.","Speaker(s): Founder and President, United Farmworkers
                Union.",,,,,"Lecture, March 3, 1988.","Chavez presents the movement of the United Farm Workers to boycott
                California grapes due to the alleged use of pesticides and unfair labor practices by
                growers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discrimination in employment,,Labor unions.,,United States.,(OCoLC)fst01018925,fast,Mexican American agricultural laborers,Labor unions,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000310120000.0,20141221,m,batch,lts,addfast,01606cim a22003852u 4500
3600375,20151214182551.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63895961,NIC,NIC,NIC,,"Lipstadt, Deborah E.",,,,,,,,,,,,,The myth of the American Jewish princess,[sound recording],1988.,1 sound cassette (60 min.) :,"analog, mono.",Speaker(s): Hebrew University Fellow.,,,,,"Lecture, March 10, 1988.","Lipstadt discusses the Jewish American Princess stereotype as a
                socially sanctioned expression of anti-semitism.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social psychology.,,,,United States.,(OCoLC)fst01431521,fast,Stereotypes (Social psychology),,,,,,(OCoLC)fst01204155,fast,United States,,,,,,,,,,,,,,,CULectures,20000224120000.0,20141221,m,batch,lts,addfast,01349cim a22003612u 4500
3600395,20151214182555.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63895990,NIC,NIC,NIC,,"Van Tienhoven, Ari.",,,,,,"Structuring the environment: selecting resources and utilizing
                technology",,[sound recording],,,,,,,1988.,1 sound cassette (55 min.) :,"analog, mono.","Speaker(s): Professor Emeritus, Avian Physiology.",,,,,"Lecture, March 14, 1988.","Tienhoven presents the concept of teaching through personal insights
                and techniques. He argues that teaching is a two-way street which requires critical
                thinkingfrom both teacher and student.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Educational innovations.,,,,,(OCoLC)fst01144236,fast,Teacher-student relationships,,,,,,,,,,,,,,,,,,,,Teaching in a changing world: dilemmas and challenges.,,,CULectures,20000110120000.0,20141221,m,batch,lts,addfast,01570cim a22003612u 4500
3600678,20151214182650.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63896436,NIC,NIC,NIC,,"LaFeber, Walter.",,,,,,Is America on the decline?,,[sound recording],,,,,,,1988.,1 sound cassette (87 min.) :,"analog, mono.","Speaker(s): Mr. LaFeber is Professor of American History at Cornell.
                Mr. Katzenstein is Professor of Government at Cornell.",,,,,"Lecture, April 5, 1988.","LaFeber and Katzenstein both address the question of America on the
                decline, with LaFeber providing a historical account of how the decline has happened
                and Katzenstein suggesting some solutions to it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast,Since 1981,,,,,,(OCoLC)fst00902025,fast,Economic policy,,United States,Economic policy,1981-,,(OCoLC)fst01204155,fast,United States,,,,,"Katzenstein, Peter J.",,,,,,,,,,CULectures,20000411120000.0,20141221,m,batch,lts,addfast,01353cim a22003372u 4500
3600547,20151214182623.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63896223,NIC,NIC,NIC,,"Chartier, Roger,",,1945- ,,,,Luigi Einaudi: between politics and history,,[sound recording],,,,,,,1988.,1 sound cassette (68 min.) :,"analog, mono.","Speaker(s): First recipient of the Einaudi chair; Professor at
                L'ecole des etudes anciennes sociales.",,,,,"Lecture, April 6, 1988.","Einaudi Inaugural Lecture; Chartier, the first recipient of the
                Einaudi professorship in European and International Studies, discusses the life of
                Luigi Einaudi and his contributions to Italian intellectual history.",,,,,,,,,"Einaudi, Luigi,",1874-1961.,,,,(OCoLC)fst00019185,fast,"Einaudi, Luigi,",1874-1961,,,,,,,,,,,,,,,,,,,,,fast,1900 - 1999,,,,,,(OCoLC)fst00975769,fast,Intellectual life,,Italy,Intellectual life,20th century.,,(OCoLC)fst01204565,fast,Italy,,,,,,,,,,,,Einaudi lectures.,,,CULectures,20000310120000.0,20141221,m,batch,lts,addfast,01483cim a22003612u 4500
3600703,20151214182655.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng ,(OCoLC)63896473,NIC,NIC,NIC,,"Keene, David A.",,,,,,1988 presidential campaign forum,,[sound recording],,,,,,,1988.,2 sound cassettes (140 min.) :,"analog, mono.","Speaker(s): Keene is chairman of the American Conservative Union;
                Yepsen is a reporter for the Des Moines Register; Frankovic is director of surveys
                for the CBS News Election Unit and a 1968 Cornell graduate; Ginsberg is a government
                professor at Cornell; Chapman, who serves as moderator, is the executive director of
                the Cornell News Service and a former bureau chief for ABC News.",,,,,"Panel, April 11, 1988.","Discussants address the question ""is this democracy?"" in
                relation to the 1988 presidential election.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Politics, Practical.",,,,,(OCoLC)fst01069977,fast,"Politics, Practical",,,,,,,,,,,,,"Yepsen, David.",,,,,,,,,,CULectures,19991201120000.0,20141221,m,batch,lts,addfast,01580cim a22003492u 4500
3600626,20151214182638.0,ss|lmnjluz|nuu,991101s1988 nyunnn l eng d,(OCoLC)63896344,NIC,NIC,NIC,,"Chien, Frederick F.",,1935- ,"(Frederick Foo),",,,,,,,,,,"The Republic of China on Taiwan and her relations with the United
                States",[sound recording],1988.,1 sound cassette (75 min.) :,"analog, mono.","Speaker(s): Representative of the Coordination Council for North
                American Affairs, a non-diplomatic mission maintained by the Nationalist Chinese
                government in the United States.",,,,,"Lecture, April 12, 1988.","Discusses the relationship between the Republic of China and the
                United States on both an economic and political level, particularly after the U.S.
                non-recognition of Taiwan in 1979.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(OCoLC)fst01069781,fast,Political science,,China,Politics and government.,,,(OCoLC)fst01206073,fast,China,,,,,,,,,,,,,,,CULectures,20000310120000.0,20141221,m,batch,lts,addfast,01693cim a22003612u 4500
